,Country,Code
0,Brazil,Brazil
1,Mexico,Mexico
2,Singapore,Singapore
3,United States,United States
4,Turkey,Turkey
5,Egypt,Egypt
6,India,India
7,Poland,Poland
8,Thailand,Thailand
9,Nigeria,Nigeria
10,Unknown,XXX
11,Norway,Norway
12,Iceland,Iceland
13,United Kingdom,United Kingdom
14,Japan,Japan
15,South Korea,South Korea
16,Italy,Italy
17,Canada,Canada
18,Indonesia,Indonesia
19,Romania,Romania
20,Spain,Spain
21,South Africa,South Africa
22,France,France
23,Portugal,Portugal
24,Hong Kong,Hong Kong
25,China,China
26,Germany,Germany
27,Argentina,Argentina
28,Serbia,Serbia
29,Denmark,Denmark
30,Kenya,Kenya
31,New Zealand,New Zealand
32,Pakistan,Pakistan
33,Australia,Australia
34,Taiwan,Taiwan
35,Netherlands,Netherlands
36,Philippines,Philippines
37,United Arab Emirates,United Arab Emirates
38,Iran,Iran
39,Belgium,Belgium
40,Israel,Israel
41,Uruguay,Uruguay
42,Bulgaria,Bulgaria
43,Chile,Chile
44,Russia,Russia
45,Mauritius,Mauritius
46,Lebanon,Lebanon
47,Colombia,Colombia
48,Algeria,Algeria
49,Soviet Union,RUS
50,Sweden,Sweden
51,Malaysia,Malaysia
52,Ireland,Ireland
53,Luxembourg,Luxembourg
54,Finland,Finland
55,Austria,Austria
56,Peru,Peru
57,Senegal,Senegal
58,Switzerland,Switzerland
59,Ghana,Ghana
60,Saudi Arabia,Saudi Arabia
61,Armenia,Armenia
62,Jordan,Jordan
63,Mongolia,Mongolia
64,Namibia,Namibia
65,Qatar,Qatar
66,Vietnam,Vietnam
67,Syria,Syria
68,Kuwait,Kuwait
69,Malta,Malta
70,Czech Republic,Czech Republic
71,Bahamas,Bahamas
72,Sri Lanka,Sri Lanka
73,Cayman Islands,Cayman Islands
74,Bangladesh,Bangladesh
75,"United States,",USA
76,Zimbabwe,Zimbabwe
77,Hungary,Hungary
78,Latvia,Latvia
79,Liechtenstein,Liechtenstein
80,Venezuela,Venezuela
81,Morocco,Morocco
82,Cambodia,Cambodia
83,Albania,Albania
84,Cuba,Cuba
85,Nicaragua,Nicaragua
86,Greece,Greece
87,"Cambodia,",KHM
88,Croatia,Croatia
89,Guatemala,Guatemala
90,West Germany,DEU
91,"Poland,",POL
92,Slovenia,Slovenia
93,Dominican Republic,Dominican Republic
94,Nepal,Nepal
95,Samoa,Samoa
96,Azerbaijan,Azerbaijan
97,Bermuda,Bermuda
98,Ecuador,Ecuador
99,Georgia,Georgia
100,Botswana,Botswana
101,Puerto Rico,Puerto Rico
102,Iraq,Iraq
103,Vatican City,Vatican City
104,Angola,Angola
105,Ukraine,Ukraine
106,Jamaica,Jamaica
107,Belarus,Belarus
108,Cyprus,Cyprus
109,Kazakhstan,Kazakhstan
110,Malawi,Malawi
111,Slovakia,Slovakia
112,Lithuania,Lithuania
113,Afghanistan,Afghanistan
114,Paraguay,Paraguay
115,Somalia,Somalia
116,Sudan,Sudan
117,Panama,Panama
118,"United Kingdom,",GBR
119,Uganda,Uganda
120,East Germany,DEU
121,Montenegro,Montenegro
